,CLUES,NOMBRE DE LA ENTIDAD,CLAVE DE LA INSTITUCION,ESTATUS DE OPERACION,LONGITUD,LATITUD
419,BCSMP000414,BAJA CALIFORNIA,SMP,EN OPERACION,-116.97425,32.4588064
420,BCSMP000426,BAJA CALIFORNIA,SMP,EN OPERACION,-117.055454,32.509964
421,BCSMP000431,BAJA CALIFORNIA,SMP,EN OPERACION,-117.0407221,32.5388508
422,BCSMP000443,BAJA CALIFORNIA,SMP,EN OPERACION,-117.020777,32.51963
423,BCSMP000455,BAJA CALIFORNIA,SMP,EN OPERACION,-117.022427,32.50738
424,BCSMP000460,BAJA CALIFORNIA,SMP,EN OPERACION,-116.972429,32.488067
425,BCSMP000472,BAJA CALIFORNIA,SMP,EN OPERACION,-117.062322,32.498438
426,BCSMP000484,BAJA CALIFORNIA,SMP,EN OPERACION,-116.889739,32.501436
427,BCSMP000496,BAJA CALIFORNIA,SMP,EN OPERACION,-116.880358,32.4863127
428,BCSMP000501,BAJA CALIFORNIA,SMP,EN OPERACION,-117.043226,32.532951
429,BCSMP000513,BAJA CALIFORNIA,SMP,EN OPERACION,-116.940739,32.484576
430,BCSMP000525,BAJA CALIFORNIA,SMP,EN OPERACION,-116.940484,32.53352
431,BCSMP000530,BAJA CALIFORNIA,SMP,EN OPERACION,-116.887452,32.514879
432,BCSMP000542,BAJA CALIFORNIA,SMP,EN OPERACION,-117.0410054,32.5303745
433,BCSMP000554,BAJA CALIFORNIA,SMP,EN OPERACION,-116.940429,32.487144
434,BCSMP000566,BAJA CALIFORNIA,SMP,EN OPERACION,-117.028055,32.538441
435,BCSMP000571,BAJA CALIFORNIA,SMP,EN OPERACION,-117.014652,32.52162
436,BCSMP000583,BAJA CALIFORNIA,SMP,EN OPERACION,-117.037157,32.478821
437,BCSMP000595,BAJA CALIFORNIA,SMP,EN OPERACION,-117.017944,32.514818
438,BCSMP000600,BAJA CALIFORNIA,SMP,EN OPERACION,-116.915414,32.507527
439,BCSMP000612,BAJA CALIFORNIA,SMP,EN OPERACION,-117.015965,32.522572
440,BCSMP000624,BAJA CALIFORNIA,SMP,EN OPERACION,-117.045101,32.533115
441,BCSMP000636,BAJA CALIFORNIA,SMP,EN OPERACION,-116.913906,32.510002
442,BCSMP000641,BAJA CALIFORNIA,SMP,EN OPERACION,-116.972547,32.456516
443,BCSMP000653,BAJA CALIFORNIA,SMP,EN OPERACION,-117.022649,32.526457
444,BCSMP000665,BAJA CALIFORNIA,SMP,EN OPERACION,-117.080745,32.510851
445,BCSMP000670,BAJA CALIFORNIA,SMP,EN OPERACION,-117.071029,32.483211
446,BCSMP000682,BAJA CALIFORNIA,SMP,EN OPERACION,-117.057793,32.514636
447,BCSMP000694,BAJA CALIFORNIA,SMP,EN OPERACION,-116.864108,32.518995
448,BCSMP000706,BAJA CALIFORNIA,SMP,EN OPERACION,-116.925179,32.524054
449,BCSMP000711,BAJA CALIFORNIA,SMP,EN OPERACION,-117.045496,32.531932
450,BCSMP000723,BAJA CALIFORNIA,SMP,EN OPERACION,-117.065452,32.51267
451,BCSMP000735,BAJA CALIFORNIA,SMP,EN OPERACION,-116.96848,32.49987
452,BCSMP000740,BAJA CALIFORNIA,SMP,EN OPERACION,-117.057138,32.512487
